CUB-(2)							
	s^σ	s^(τ-2)*(P≥s)					
7	8.971815795	0.248242638	0.250227229	0.252219175	0.254323212	0.256083149	0.258358516
8	12.27456506	0.223347471	0.225959431	0.228377454	0.231042276	0.233480849	0.236226232
9	16.79313875	0.205667628	0.208817682	0.211951809	0.215261504	0.218408373	0.22174552
10	22.97511217	0.193087235	0.197149594	0.201098221	0.205464322	0.209388376	0.213533367
11	31.43282426	0.184422227	0.189667978	0.19463806	0.200284711	0.205461209	0.210841526
12	43.00403122	0.178426929	0.185143006	0.191719458	0.19904902	0.20567947	0.212477133
13	58.8348882	0.173733819	0.182494054	0.191196222	0.200569781	0.209444753	0.218367451
14	80.49347866	0.169464002	0.180927121	0.19249634	0.204928991	0.216567536	0.228301106
15	110.1251367	0.164567734	0.179939784	0.195360725	0.211603705	0.227105188	0.242748457
16	150.6649475	0.158680684	0.178958599	0.199826528	0.221333307	0.241830899	0.262536169
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))	
					0.001421	-0.000145217	
					0.001422	-0.004414392	
					0.001423	0.000110158	
					0.001424	0.000240001	
					0.001425	0.000363241	
					0.001426	0.000488106	
							
CUB-(10)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.0007696	0.0007697	0.0007698	0.0007699	0.00077	0.0007701
0	1	1	1	1	1	1	1
1	1.368124953	0.730784258	0.730672131	0.730994786	0.730849254	0.730976832	0.73107813
2	1.871765887	0.566431968	0.566232594	0.56657187	0.56670411	0.566781734	0.567059242
3	2.560809617	0.454504466	0.45412821	0.454546672	0.454792421	0.454997191	0.455219983
4	3.503507537	0.37282301	0.37253059	0.372870843	0.373105209	0.37323842	0.373751753
5	4.793236085	0.310756446	0.310761019	0.310857343	0.311251227	0.311600733	0.311945157
6	6.557745895	0.263178001	0.263472031	0.263428901	0.263944659	0.264427703	0.264831869
7	8.971815795	0.227025331	0.227292792	0.227477077	0.227865168	0.22834279	0.22902787
8	12.27456506	0.199647413	0.199883404	0.20030245	0.20075527	0.201229805	0.201954943
9	16.79313875	0.179422835	0.179545598	0.180148385	0.180701377	0.181400582	0.182194722
10	22.97511217	0.165108834	0.165135819	0.165881923	0.166614621	0.167264601	0.168365838
11	31.43282426	0.154980861	0.155206646	0.156073392	0.157073309	0.157854338	0.159043906
12	43.00403122	0.147938361	0.148380672	0.149877148	0.150960015	0.151942426	0.153388323
13	58.8348882	0.143507569	0.14438215	0.146234609	0.147444355	0.148694881	0.150418904
14	80.49347866	0.140361911	0.141625281	0.143916797	0.145841057	0.147266411	0.149599711
15	110.1251367	0.138112826	0.139866499	0.142809996	0.145230843	0.147381942	0.150190775
16	150.6649475	0.135748272	0.138323099	0.142015596	0.145269338	0.148062792	0.151927619
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))	
					0.0007696	-5.83267E-05	
					0.0007697	-0.003412031	
					0.0007698	-1.95956E-05	
					0.0007699	9.49569E-07	
					0.00077	1.67946E-05	
					0.0007701	4.28429E-05	
							
CUB-(12)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.0004631	0.0004632	0.0004633	0.0004634	0.0004635	0.0004636
0	1	1	1	1	1	1	1
1	1.368124953	0.727904553	0.727755121	0.728085662	0.72789709	0.728280367	0.728271962
2	1.871765887	0.561396875	0.561606458	0.561491281	0.561422848	0.562078134	0.562171049
3	2.560809617	0.447532712	0.447800051	0.447748423	0.448010466	0.448547927	0.448885512
4	3.503507537	0.364072348	0.364432787	0.364358311	0.364655023	0.365044869	0.365522097
5	4.793236085	0.300669638	0.301135756	0.301042381	0.301289604	0.301824549	0.30211803
6	6.557745895	0.25136404	0.251913808	0.251814157	0.25251866	0.25310009	0.253570147
7	8.971815795	0.213230642	0.213905748	0.213819329	0.214901532	0.215436161	0.216005926
8	12.27456506	0.1839429	0.184605921	0.184859435	0.18609974	0.186657646	0.18741479
9	16.79313875	0.161996592	0.162646631	0.163229096	0.164420098	0.165335336	0.166192357
10	22.97511217	0.145560643	0.146386094	0.14720344	0.148615427	0.149856397	0.150864559
11	31.43282426	0.133389851	0.13437815	0.135646691	0.137353652	0.138775427	0.140211712
12	43.00403122	0.125154614	0.12643472	0.128041008	0.130097862	0.13183001	0.133547528
13	58.8348882	0.119515423	0.121290115	0.123308833	0.125975259	0.12811804	0.130153259
14	80.49347866	0.115749138	0.118008677	0.120782283	0.123894506	0.126705656	0.129446706
15	110.1251367	0.113279785	0.11617734	0.119941319	0.123650915	0.127424117	0.131109534
16	150.6649475	0.111121534	0.115132006	0.119996463	0.124696591	0.129928744	0.134647844
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))	
					0.0004631	-5.32378E-05	
					0.0004632	-0.002839974	
					0.0004633	1.36024E-06	
					0.0004634	2.57938E-05	
					0.0004635	6.17819E-05	
					0.0004636	8.72799E-05	
							
CUB-(14)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.0003001	0.0003002	0.0003003	0.0003004	0.0003005	
0	1	1	1	1	1	1	
1	1.368124953	0.725802281	0.726248087	0.726576741	0.726507845	0.726922823	
2	1.871765887	0.558082852	0.558238992	0.558350541	0.559232988	0.558947593	
3	2.560809617	0.44297466	0.442661955	0.44341173	0.44452422	0.444423756	
4	3.503507537	0.357982006	0.358242876	0.358859749	0.359836244	0.360032884	
5	4.793236085	0.293253179	0.293289009	0.294336923	0.295089897	0.295780847	
6	6.557745895	0.242939869	0.242957953	0.24402358	0.245284798	0.24593563	
7	8.971815795	0.203773792	0.203772522	0.205397083	0.206467166	0.206472169	
8	12.27456506	0.173262951	0.173453724	0.174932107	0.176628468	0.176523153	
9	16.79313875	0.149847371	0.150478752	0.152139954	0.153440303	0.154121205	
10	22.97511217	0.131956402	0.132726863	0.134686651	0.136442849	0.137596663	
11	31.43282426	0.118905587	0.120093099	0.122299372	0.124522686	0.125765525	
12	43.00403122	0.108912671	0.110698593	0.113537745	0.116068605	0.117676105	
13	58.8348882	0.101730525	0.104259521	0.107330011	0.110746298	0.112958563	
14	80.49347866	0.096678382	0.100221514	0.104109195	0.108254168	0.111296217	
15	110.1251367	0.092747917	0.097294548	0.102467006	0.107674501	0.112265367	
16	150.6649475	0.089668548	0.095645075	0.102329962	0.108992418	0.114564248	
17	206.1284743	0.086453812	0.094340474	0.103029899	0.11159139	0.119278739	
18	282.0095092	0.08235274	0.093385789	0.104349977	0.115721538	0.126559581	
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^18)-f(2^17)/d(g(2^18)-g(2^17))	
					0.0003001	-5.40461E-05	
					0.0003002	-1.25813E-05	
					0.0003003	1.73967E-05	
					0.0003004	5.44293E-05	
					0.0003005	9.59507E-05	
							
CUB-(16)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.0002054	0.0002055	0.0002056	0.0002057	0.0002058	0.0002059
0	1	1	1	1	1	1	1
1	1.368124953	0.72400583	0.724474112	0.724620373	0.724799572	0.725118277	0.725206495
2	1.871765887	0.555034773	0.555615377	0.555828304	0.556537018	0.556534893	0.557020311
3	2.560809617	0.438875541	0.439678325	0.440147089	0.441104491	0.441555023	0.442069774
4	3.503507537	0.353276742	0.353849793	0.35449912	0.355415788	0.356253398	0.357042296
5	4.793236085	0.287398986	0.288345775	0.289380581	0.290067423	0.291093665	0.292341233
6	6.557745895	0.235846567	0.237216734	0.237888994	0.23875029	0.239869976	0.241400158
7	8.971815795	0.195716844	0.197205776	0.197870416	0.199428559	0.200655921	0.202087528
8	12.27456506	0.164099692	0.165850569	0.166673842	0.168522179	0.169570031	0.170957638
9	16.79313875	0.139539866	0.141287209	0.142619047	0.144708844	0.146202935	0.147797096
10	22.97511217	0.11977498	0.121902573	0.123578156	0.125671172	0.127732084	0.130076798
11	31.43282426	0.104772357	0.107346374	0.109285225	0.111993509	0.114787531	0.117775569
12	43.00403122	0.093071314	0.096333206	0.098762839	0.101892916	0.105390619	0.109182221
13	58.8348882	0.084172189	0.087871054	0.091372857	0.095003716	0.099242602	0.1035432
14	80.49347866	0.077258877	0.081957306	0.086358377	0.090829014	0.096200604	0.101748341
15	110.1251367	0.070891673	0.077092185	0.082675316	0.088843955	0.095551214	0.102566124
16	150.6649475	0.065025926	0.072687517	0.079755553	0.087738007	0.096719377	0.105640019
17	206.1284743	0.058187158	0.067999366	0.077457033	0.088160521	0.099835369	0.111337527
18	282.0095092	0.049856953	0.062352981	0.075143681	0.089661712	0.10466009	0.119750252
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^18)-f(2^17)/d(g(2^18)-g(2^17))	
					0.0002054	-0.00010978	
					0.0002055	-7.4411E-05	
					0.0002056	-3.04866E-05	
					0.0002057	1.97835E-05	
					0.0002058	6.35827E-05	
					0.0002059	0.000110867	
							
CUB-(18)							
	s^σ	s^(τ-2)*(P≥s)					
log_2^(s)		0.0001468	0.0001469	0.000147	0.0001471	0.0001472	
0	1	1	1	1	1	1	
1	1.368124953	0.723341862	0.72375903	0.724021614	0.723882878	0.724690727	
2	1.871765887	0.553067887	0.554010049	0.554392734	0.554870268	0.555717582	
3	2.560809617	0.436086658	0.437456552	0.43777873	0.438966484	0.43954071	
4	3.503507537	0.349088462	0.350874183	0.35157354	0.353148464	0.354363527	
5	4.793236085	0.283036452	0.284579556	0.285886422	0.286906852	0.288740235	
6	6.557745895	0.231457333	0.232872254	0.234567203	0.235806982	0.23839979	
7	8.971815795	0.190592499	0.191921771	0.194687061	0.196195887	0.198384211	
8	12.27456506	0.158260004	0.15983637	0.162442321	0.164226328	0.166965016	
9	16.79313875	0.1327433	0.134595628	0.137501651	0.139588364	0.14248809	
10	22.97511217	0.112836944	0.115595674	0.118587914	0.121405341	0.124230958	
11	31.43282426	0.097318207	0.100391779	0.104167095	0.107355094	0.111457278	
12	43.00403122	0.085433553	0.088609578	0.093478916	0.097775261	0.102130297	
13	58.8348882	0.075270149	0.079796416	0.08549616	0.090856815	0.096455594	
14	80.49347866	0.067127811	0.073069861	0.079840382	0.086503882	0.093591936	
15	110.1251367	0.060341394	0.06771146	0.076283555	0.084756078	0.093716444	
16	150.6649475	0.053715588	0.06323725	0.073915056	0.085355878	0.096809856	
17	206.1284743	0.046828519	0.058626784	0.072693108	0.087538145	0.102507084	
18	282.0095092	0.038753866	0.053549774	0.072020238	0.09132127	0.110919982	
							
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^18)-f(2^17)/d(g(2^18)-g(2^17))	
					0.0001468	-0.000106412	
					0.0001469	-6.69075E-05	
					0.000147	-8.86743E-06	
					0.0001471	4.9856E-05	
					0.0001472	0.00011087	
