CUB-(2)								
	s^σ	s^(τ-2)*(P≥s)						
6	6.557745895	1.178982005	1.180682496	1.182081201	1.182623074	1.183848024	1.177422286	
7	8.971815795	1.184385169	1.186911752	1.188420809	1.18975635	1.191419329	1.181506841	
8	12.27456506	1.187113551	1.190066274	1.192372918	1.195146215	1.197103568	1.183255063	
9	16.79313875	1.187784657	1.191771668	1.194919762	1.199410957	1.202434734	1.182385307	
10	22.97511217	1.187842914	1.192429477	1.197077938	1.202665839	1.207701692	1.179670793	
11	31.43282426	1.186511735	1.192234938	1.199596252	1.206895186	1.214410281	1.175525965	
12	43.00403122	1.183197482	1.19171895	1.201701744	1.212161452	1.222536109	1.169570721	
13	58.8348882	1.178069333	1.191290817	1.205057338	1.219448227	1.23325925	1.161112531	
14	80.49347866	1.170972869	1.189503609	1.20987028	1.229458502	1.248876988	1.148609625	
15	110.1251367	1.162055404	1.188456552	1.214922455	1.242825542	1.269972878	1.132099955	
16	150.6649475	1.149933981	1.18613855	1.22386289	1.261713833	1.298977483	1.108821454	
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))		
					0.003581	-0.000299001		
					0.003582	-0.029258611		
					0.003583	0.000220535		
					0.003584	0.00046592		
					0.003585	0.00071546		
					0.00358	-0.000574213		
								
CUB-(10)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.001956	0.001957	0.001958	0.001959	0.00196	0.001961	
0	1	1	1	1	1	1	1	
1	1.368124953	1.055542569	1.055906572	1.055843459	1.056150452	1.056033035	1.056191505	
2	1.871765887	1.098925556	1.099713595	1.099651282	1.100203018	1.100172941	1.100480649	
3	2.560809617	1.130938972	1.132004969	1.132079941	1.132658321	1.133221318	1.133552214	
4	3.503507537	1.153051631	1.153821624	1.154805299	1.155546329	1.156334715	1.156800942	
5	4.793236085	1.166666922	1.168213012	1.169583283	1.170418948	1.17239767	1.173113786	
6	6.557745895	1.174039303	1.176618774	1.177455352	1.180587247	1.182955335	1.184662904	
7	8.971815795	1.176129063	1.180342906	1.18179392	1.186683075	1.189786591	1.193230204	
8	12.27456506	1.174520386	1.181166212	1.182715719	1.190641152	1.194359998	1.19880494	
9	16.79313875	1.170118711	1.178483817	1.182290667	1.191833158	1.198505347	1.205851455	
10	22.97511217	1.162783953	1.173974917	1.179964978	1.192734873	1.201407486	1.212784716	
11	31.43282426	1.151728431	1.167327226	1.176539473	1.193238793	1.205720538	1.220108759	
12	43.00403122	1.135886783	1.156288045	1.171389866	1.192931576	1.210468827	1.230357417	
13	58.8348882	1.113301737	1.141315064	1.163835883	1.19253397	1.217014091	1.243737788	
14	80.49347866	1.082380905	1.120708605	1.152919054	1.191264951	1.226062798	1.263332987	
15	110.1251367	1.040214602	1.091004076	1.138362631	1.191060515	1.238403133	1.289106021	
16	150.6649475	0.981094153	1.049796124	1.116713424	1.186292371	1.252467816	1.322083236	
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))		
					0.001956	-0.001458331		
					0.001957	-0.025895437		
					0.001958	-0.000534023		
					0.001959	-0.000117616		
					0.00196	0.000346935		
					0.001961	0.000813453		
								
CUB-(12)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.001184	0.001185	0.001186	0.001187	0.001188		
0	1	1	1	1	1	1		
1	1.368124953	1.055002814	1.055157552	1.056073197	1.055713328	1.056274937		
2	1.871765887	1.098738897	1.098620314	1.10005697	1.100162333	1.10042723		
3	2.560809617	1.130857954	1.131336125	1.133133128	1.13346724	1.134462555		
4	3.503507537	1.152542006	1.153377982	1.15587346	1.156936423	1.159038426		
5	4.793236085	1.165488129	1.167869469	1.171504771	1.173308422	1.176642204		
6	6.557745895	1.172539717	1.175980468	1.180900326	1.184483674	1.188977086		
7	8.971815795	1.175316737	1.180427314	1.187323947	1.192380289	1.199620157		
8	12.27456506	1.173718585	1.182738503	1.191698595	1.199157457	1.208603315		
9	16.79313875	1.169928328	1.182189819	1.194023116	1.205458803	1.21793509		
10	22.97511217	1.162744707	1.179527273	1.196506232	1.212270586	1.229444289		
11	31.43282426	1.152316494	1.175322111	1.198974157	1.220135722	1.243367561		
12	43.00403122	1.137407882	1.170027211	1.201154471	1.231147695	1.264115632		
13	58.8348882	1.117291675	1.160495674	1.203257378	1.2464675	1.290874147		
14	80.49347866	1.089500488	1.148314317	1.208362434	1.26671282	1.328321428		
15	110.1251367	1.049202292	1.131079514	1.212618418	1.294030708	1.378880666		
16	150.6649475	0.983114028	1.095357402	1.20969677	1.323775703	1.43870074		
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))		
					0.001184	-0.001630207		
					0.001185	-0.027019302		
					0.001186	-7.20686E-05		
					0.001187	0.000733723		
					0.001188	0.001475588		
								
CUB-(14)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.0007712	0.0007713	0.0007714	0.0007715	0.0007716		
0	1	1	1	1	1	1		
1	1.368124953	1.055917198	1.055711882	1.055634394	1.055583477	1.055507884		
2	1.871765887	1.100277654	1.09996577	1.099562544	1.100005206	1.099482019		
3	2.560809617	1.13301864	1.132815517	1.132447634	1.132717552	1.132418861		
4	3.503507537	1.155828048	1.155810085	1.155678098	1.155747582	1.156040477		
5	4.793236085	1.170526002	1.170621268	1.170733451	1.17137288	1.171735971		
6	6.557745895	1.179646955	1.179321141	1.180052953	1.181833257	1.182066706		
7	8.971815795	1.185263511	1.184139958	1.185954305	1.188788859	1.187982716		
8	12.27456506	1.188198197	1.186749145	1.189415084	1.192924022	1.191880517		
9	16.79313875	1.18894629	1.188316944	1.19206294	1.194845134	1.195470579		
10	22.97511217	1.189929725	1.188612236	1.192857004	1.19644217	1.197993242		
11	31.43282426	1.188410922	1.188020042	1.193885191	1.198656305	1.200229168		
12	43.00403122	1.186023007	1.187197183	1.194150893	1.199498395	1.203241292		
13	58.8348882	1.181931074	1.185099716	1.19406335	1.20205139	1.207748832		
14	80.49347866	1.177175538	1.182283419	1.193619789	1.203839352	1.212244444		
15	110.1251367	1.16683326	1.176147169	1.190420904	1.204605717	1.215588099		
								
								
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^14)-f(2^13)/d(g(2^14)-g(2^13))		
					0.0007712	-0.000219568		
					0.0007713	-0.000130031		
					0.0007714	-2.04797E-05		
					0.0007715	8.25521E-05		
					0.0007716	0.000207567		
								
CUB-(16)								
	s^σ	s^(τ-2)*(P≥s)						
log_2^(s)		0.0005295	0.0005296	0.0005297	0.0005298	0.0005299		
