SC-1										
	s^考	s^(而-2)*(P≡s)								
6	6.557745895	1.082243626	1.086912672	1.091292806	1.095596963	1.100935338	1.105312904	1.110139625	1.114143198	1.119463904
7	8.971815795	1.077575386	1.084647814	1.090866289	1.097563763	1.104911915	1.111040605	1.118155485	1.124278316	1.131842012
8	12.27456506	1.06712574	1.076916468	1.086156171	1.095570378	1.105970822	1.115339593	1.125015866	1.134031069	1.144359753
9	16.79313875	1.050139491	1.063755996	1.076956092	1.090490015	1.104846683	1.118397409	1.131960334	1.144627615	1.158723302
10	22.97511217	1.024834549	1.044314599	1.062519997	1.081740114	1.101606628	1.120780071	1.139240147	1.157515913	1.17727041
11	31.43282426	0.989400198	1.016313964	1.041720296	1.0685301	1.095644206	1.122343607	1.147666619	1.174209973	1.201446695
12	43.00403122	0.940392358	0.977322153	1.012850394	1.049933834	1.087567637	1.124017797	1.159797827	1.196436292	1.234128434
13	58.8348882	0.874348521	0.924134853	0.973443724	1.0244152	1.076086426	1.126475047	1.175953582	1.226397298	1.278036457
14	80.49347866	0.78574697	0.852466826	0.920644968	0.989390143	1.060277197	1.129135889	1.19787071	1.267411571	1.337639737
15	110.1251367	0.670013134	0.757345489	0.848120764	0.941433776	1.03769842	1.132794024	1.22823305	1.323977333	1.418796854
16	150.6649475	0.523930926	0.633397626	0.751905605	0.877089231	1.007369767	1.137952302	1.268965151	1.400573974	1.528386553
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1034	-0.003603426				
					0.1035	-0.015624089				
					0.1036	-0.00237335				
					0.1037	-0.001587194				
					0.1038	-0.00074812				
					0.1039	0.00012724				
					0.104	0.001004743				
					0.1041	0.001889418				
					0.1042	0.002703261				
										
SC-234										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.08561	0.08562	0.08563	0.08564	0.08565	0.08566	0.08567	0.08568	0.08569
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.028758383	1.028735465	1.02886502	1.02905664	1.029008713	1.028840635	1.029097768	1.02906172	1.028856247
2	1.871765887	1.065506954	1.065588782	1.065812265	1.066030958	1.066169955	1.065933012	1.066068102	1.066141849	1.065951317
3	2.560809617	1.096874072	1.0970807	1.097108311	1.097584137	1.09781967	1.097424209	1.097852284	1.097678686	1.097619042
4	3.503507537	1.118251789	1.1186522	1.118494801	1.119394528	1.119706868	1.119448016	1.119756489	1.119762675	1.119799262
5	4.793236085	1.132098677	1.132783838	1.132668899	1.133621065	1.134152106	1.134162935	1.134864056	1.134526426	1.134547629
6	6.557745895	1.140369974	1.141537927	1.141291207	1.142613703	1.143335774	1.143501204	1.143926738	1.144381236	1.144587489
7	8.971815795	1.145240761	1.146402039	1.146723655	1.148305272	1.148897296	1.149818439	1.15003896	1.151128539	1.151598006
8	12.27456506	1.147519565	1.148783529	1.149220807	1.15125664	1.152222977	1.153660766	1.154390657	1.155641697	1.156430551
9	16.79313875	1.146777698	1.149103135	1.150021715	1.153061113	1.154046508	1.15637743	1.157202799	1.159308406	1.160320772
10	22.97511217	1.145381129	1.148354332	1.150214204	1.153549422	1.155684019	1.158874172	1.159628374	1.162174443	1.164627074
11	31.43282426	1.142381935	1.146374856	1.149262021	1.153407368	1.15656191	1.160549382	1.162810611	1.166204695	1.168698392
12	43.00403122	1.137718863	1.14348702	1.147410909	1.152985877	1.157233568	1.162267347	1.166117916	1.170623854	1.174078223
13	58.8348882	1.131540835	1.13885542	1.144351842	1.152211969	1.157599793	1.1645441	1.169893413	1.176765479	1.181977373
14	80.49347866	1.122862784	1.132990048	1.140249326	1.151194282	1.158515382	1.167663011	1.176401456	1.184427504	1.192183049
15	110.1251367	1.111236037	1.124349606	1.135046599	1.14891415	1.160121851	1.17194534	1.183637506	1.195081283	1.205958412
16	150.6649475	1.094624264	1.112818097	1.127773193	1.144883508	1.161359211	1.177393523	1.193233794	1.210129439	1.224931369
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.08561	-0.000409764				
					0.08562	-0.027450007				
					0.08563	-0.000179414				
					0.08564	-9.94243E-05				
					0.08565	3.05221E-05				
					0.08566	0.000134391				
					0.08567	0.000236713				
					0.08568	0.000371195				
					0.08569	0.000468008				
										
SC-1234										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.08009	0.0801	0.08011	0.08012	0.08013	0.08014			
0	1	1	1	1	1	1	1			
1	1.368124953	1.061182052	1.061176267	1.061471267	1.061342133	1.061173788	1.061287549			
2	1.871765887	1.107323481	1.107268624	1.107672317	1.107520473	1.107415255	1.107388201			
3	2.560809617	1.139510075	1.13950996	1.139886097	1.140105851	1.140061944	1.139929666			
4	3.503507537	1.160872475	1.160533369	1.1613817	1.161522737	1.161998785	1.162018012			
5	4.793236085	1.174255745	1.173592282	1.175152522	1.175229656	1.176328413	1.175915082			
6	6.557745895	1.181902093	1.181763026	1.183534143	1.183645302	1.185032433	1.185023365			
7	8.971815795	1.186292937	1.186086915	1.188304082	1.188841817	1.190325967	1.19065179			
8	12.27456506	1.187999566	1.188065147	1.191346756	1.1922651	1.193467057	1.194734364			
9	16.79313875	1.187982352	1.18843275	1.192179248	1.193758967	1.195152591	1.19770968			
10	22.97511217	1.187212247	1.188034536	1.192727256	1.194526484	1.197038185	1.199584387			
11	31.43282426	1.185100248	1.186931647	1.192759505	1.194636568	1.198626739	1.202503843			
12	43.00403122	1.181686804	1.184485229	1.191480235	1.195439104	1.200564607	1.205673753			
13	58.8348882	1.176625559	1.181518674	1.18998375	1.196446787	1.203926835	1.209946688			
14	80.49347866	1.169687864	1.176844316	1.188201299	1.197342509	1.207384534	1.216678442			
15	110.1251367	1.159837935	1.170866077	1.185992346	1.198446353	1.21190653	1.224326966			
16	150.6649475	1.146910512	1.162144519	1.182214357	1.200388009	1.217944539	1.235275182			
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.08009	-0.000318882				
					0.0801	-0.028666747				
					0.08011	-9.31921E-05				
					0.08012	4.7895E-05				
					0.08013	0.00014894				
					0.08014	0.000270061				
										
SC-5										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.06796	0.06797	0.06798	0.06799	0.068	0.06801	0.06802	0.06803	0.06804
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.929559058	0.929139837	0.929594879	0.929384847	0.929666405	0.929587084	0.930024679	0.930177979	0.92992136
2	1.871765887	0.926428741	0.926534333	0.926703322	0.926783081	0.927079472	0.926859062	0.927532529	0.92765999	0.927387454
3	2.560809617	0.944558519	0.944863139	0.945218777	0.945458544	0.945708088	0.945558726	0.946299127	0.946578148	0.946416578
4	3.503507537	0.965727443	0.966226843	0.966712895	0.966851057	0.967283521	0.967231775	0.968311027	0.968674941	0.968738782
5	4.793236085	0.981742336	0.982523447	0.983219898	0.983077877	0.983595859	0.984210873	0.985153333	0.985862388	0.986176146
6	6.557745895	0.992815485	0.993834883	0.994866629	0.994926766	0.995475434	0.996585388	0.997318276	0.998798501	0.999288018
7	8.971815795	1.000104048	1.001777451	1.002673902	1.003026984	1.004236379	1.005375453	1.00643897	1.008211861	1.008717018
8	12.27456506	1.005118352	1.006812566	1.007901798	1.008710325	1.010105952	1.011951709	1.013408267	1.015708528	1.016038005
9	16.79313875	1.007046322	1.009582186	1.011136735	1.01247668	1.014638332	1.01686025	1.019070276	1.022331171	1.022770974
10	22.97511217	1.007834858	1.010906392	1.013376928	1.015541928	1.01887744	1.021386587	1.024620144	1.028109326	1.029639939
11	31.43282426	1.007796065	1.011799101	1.015172926	1.018363293	1.022704154	1.026086454	1.030555302	1.034873057	1.037190741
12	43.00403122	1.006636821	1.011797533	1.01654823	1.021298146	1.027129086	1.031686697	1.037679267	1.043153137	1.046782183
13	58.8348882	1.004357719	1.011268874	1.017735134	1.02424366	1.032217703	1.038113681	1.04645861	1.05373979	1.05931265
14	80.49347866	1.000225958	1.010175019	1.018254885	1.027444734	1.039051723	1.047349135	1.058010244	1.06847295	1.076724922
15	110.1251367	0.994725279	1.008194347	1.020238168	1.032511935	1.048020159	1.059298863	1.073935219	1.087880971	1.099491002
16	150.6649475	0.987313163	1.005839723	1.022532517	1.039860373	1.059617803	1.075872373	1.095334583	1.1146624	1.130787321
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06796	-0.000182835				
					0.06797	-0.02481116				
					0.06798	5.65949E-05				
					0.06799	0.000181265				
					0.068	0.00028608				
					0.06801	0.000408821				
					0.06802	0.00052786				
					0.06803	0.00066062				
					0.06804	0.00077199				
										
SC-15										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.06136	0.06137	0.06138	0.06139	0.0614	0.06141	0.06142	0.06143	0.06144
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.969360528	0.969418653	0.969424945	0.969775728	0.96985136	0.969788411	0.969748629	0.970022054	0.969813004
2	1.871765887	1.002440483	1.002828805	1.00270328	1.002979547	1.003236867	1.003355433	1.003604189	1.00363868	1.003492653
3	2.560809617	1.033965886	1.03423907	1.034101502	1.034452699	1.035083684	1.035128734	1.035456522	1.035424758	1.035376375
4	3.503507537	1.05752144	1.058289687	1.058129842	1.058372151	1.059552756	1.059598359	1.060026644	1.060117693	1.060258672
5	4.793236085	1.074098567	1.074908144	1.075036296	1.07536039	1.076844435	1.076819531	1.077250129	1.077445433	1.078591856
6	6.557745895	1.085220555	1.085913192	1.086678586	1.086835942	1.089067026	1.089070926	1.089482696	1.090093798	1.091200353
7	8.971815795	1.091367767	1.093193895	1.094514513	1.094990582	1.097322647	1.097552354	1.098776534	1.098807869	1.100732208
8	12.27456506	1.095086812	1.097506621	1.098670379	1.100213605	1.102886046	1.103856541	1.105665129	1.105762131	1.107823859
9	16.79313875	1.097263032	1.099945386	1.101329629	1.104037378	1.107367704	1.108932511	1.111606193	1.112167795	1.114775807
10	22.97511217	1.097801899	1.100650566	1.102784732	1.107000898	1.111419192	1.113656939	1.117247928	1.118568784	1.121984379
11	31.43282426	1.096454464	1.100997925	1.10363262	1.109388421	1.115173344	1.118788316	1.123239698	1.125791674	1.130401889
12	43.00403122	1.094048637	1.100190911	1.105063135	1.111939131	1.118650019	1.124063011	1.130936176	1.134522412	1.141621187
13	58.8348882	1.090916167	1.098460694	1.105723587	1.115604034	1.12438002	1.131464701	1.14042877	1.146362427	1.155972829
14	80.49347866	1.086074004	1.096026836	1.107231239	1.119447226	1.131806657	1.142170635	1.152932957	1.162583153	1.175104368
15	110.1251367	1.079037372	1.092983812	1.108338957	1.125199512	1.141095157	1.156131772	1.170887537	1.184550044	1.200726095
16	150.6649475	1.068920441	1.087871494	1.109254091	1.132556606	1.154430701	1.174255154	1.195496508	1.215169692	1.23684247
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06136	-0.000249555				
					0.06137	-0.026834647				
					0.06138	2.25737E-05				
					0.06139	0.000181478				
					0.0614	0.000328949				
					0.06141	0.000447051				
					0.06142	0.000607032				
					0.06143	0.000755298				
					0.06144	0.000890887				
										
SC-25										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05716	0.05717	0.05718	0.05719	0.0572	0.05721	0.05722	0.05723	0.05724
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.002919385	1.003358782	1.003145721	1.003270054	1.002937847	1.003116105	1.003003389	1.003252675	1.003531861
2	1.871765887	1.032760335	1.032885177	1.033037532	1.033237943	1.033094087	1.033358304	1.033213086	1.033710456	1.034027602
3	2.560809617	1.063845995	1.06411598	1.064758614	1.065138426	1.064624281	1.064873754	1.064728622	1.065500749	1.06622019
4	3.503507537	1.086452511	1.086791187	1.087426605	1.088526697	1.088024564	1.088159858	1.088041672	1.089242677	1.089994262
5	4.793236085	1.101570782	1.101761076	1.102948059	1.104132634	1.103799994	1.10399435	1.103553435	1.105681986	1.106195645
6	6.557745895	1.11102838	1.111234699	1.112410512	1.114199994	1.114594771	1.114706584	1.114440919	1.117124245	1.117970931
7	8.971815795	1.116406568	1.117243489	1.118284372	1.120825861	1.121306704	1.12220419	1.121681097	1.12489389	1.126408589
8	12.27456506	1.11803813	1.120749846	1.121020841	1.12399207	1.125373407	1.126168547	1.126995399	1.130166459	1.132501998
9	16.79313875	1.118531452	1.121897754	1.122607607	1.125576394	1.12750378	1.129024477	1.1307144	1.134594756	1.137743237
10	22.97511217	1.116790312	1.119997396	1.121908523	1.125911044	1.128433351	1.131067132	1.134098654	1.138695513	1.142903736
11	31.43282426	1.112718809	1.116981986	1.119937561	1.125256498	1.129226315	1.132216727	1.137835681	1.143367876	1.148982132
12	43.00403122	1.105321281	1.111620485	1.116174567	1.12327029	1.129890289	1.133194913	1.141506917	1.149149305	1.156264081
13	58.8348882	1.094613302	1.104000939	1.11082933	1.120931876	1.13037317	1.135491649	1.146527042	1.155647599	1.165852214
14	80.49347866	1.0796436	1.092998898	1.103005253	1.116533925	1.130063569	1.138816593	1.153378183	1.164664035	1.178366926
15	110.1251367	1.059783739	1.077568855	1.092432572	1.109698708	1.129181864	1.142181288	1.161936344	1.177308275	1.195791343
16	150.6649475	1.033403541	1.056441482	1.078148809	1.10138492	1.126167723	1.147100832	1.17280864	1.19391324	1.219804605
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05716	-0.000650723				
					0.05717	-0.026059359				
					0.05718	-0.000352339				
					0.05719	-0.000205077				
					0.0572	-7.43502E-05				
					0.05721	0.000121351				
					0.05722	0.000268188				
					0.05723	0.000409597				
					0.05724	0.000592338				
										
SC-35										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05696	0.05697	0.05698	0.05699	0.057	0.05701	0.05702	0.05703	0.05704
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.965392523	0.965263747	0.965267367	0.965657606	0.96536813	0.965690307	0.965896454	0.965823868	0.966322544
2	1.871765887	0.996559185	0.996690327	0.996473764	0.996959409	0.996838183	0.99692921	0.997345774	0.997244375	0.998020215
3	2.560809617	1.029930064	1.030232119	1.030009984	1.03024554	1.03044429	1.030383985	1.031179062	1.031260889	1.032102207
4	3.503507537	1.054534811	1.05511388	1.054986534	1.055387902	1.055796207	1.055531311	1.056910302	1.056817593	1.058101289
5	4.793236085	1.071008735	1.072150034	1.071914218	1.072968271	1.073209438	1.073027273	1.074443813	1.07490949	1.076309859
6	6.557745895	1.08188895	1.082837789	1.083101829	1.084362692	1.084919857	1.085096419	1.086925751	1.087648918	1.089063297
7	8.971815795	1.088158778	1.089691661	1.090185692	1.091843668	1.092231485	1.092732508	1.095303473	1.096489019	1.098432392
8	12.27456506	1.091701605	1.093264322	1.094332715	1.096870022	1.097629365	1.098747665	1.101123538	1.102667196	1.10541741
9	16.79313875	1.092283534	1.094693597	1.096589548	1.100282357	1.101050225	1.102889846	1.105838302	1.108154541	1.110858943
10	22.97511217	1.091064068	1.094431129	1.096588002	1.101645774	1.103779783	1.105872738	1.109619408	1.113594973	1.116942282
11	31.43282426	1.087507733	1.09237425	1.095819272	1.102048459	1.105721026	1.10879114	1.114031639	1.118507879	1.123516258
12	43.00403122	1.082394746	1.089020755	1.093767178	1.102215479	1.107073011	1.112258623	1.118982322	1.125203392	1.132199297
13	58.8348882	1.074363145	1.083731792	1.091173737	1.101966643	1.109203925	1.116179335	1.125825746	1.133937062	1.14367465
14	80.49347866	1.063214508	1.075921229	1.086155672	1.101062992	1.111033467	1.121488914	1.134124585	1.145524554	1.158567277
15	110.1251367	1.048266277	1.065508549	1.080585063	1.099042806	1.113372378	1.128398493	1.145915983	1.161480472	1.179540879
16	150.6649475	1.027402686	1.050961399	1.072152682	1.09691968	1.117144003	1.139429282	1.162775056	1.183200532	1.207662863
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05696	-0.000514645				
					0.05697	-0.025924181				
					0.05698	-0.000208002				
					0.05699	-5.23714E-05				
					0.057	9.30351E-05				
					0.05701	0.000272098				
					0.05702	0.000415865				
					0.05703	0.000535771				
					0.05704	0.000693688				
										
SC-45										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05951	0.05952	0.05953	0.05954	0.05955	0.05956	0.05957	0.05958	0.05959
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.958951148	0.95928465	0.959266814	0.959300223	0.959037062	0.959321682	0.959193216	0.959205157	0.959429435
2	1.871765887	0.970374512	0.970338253	0.970582247	0.970880869	0.970459409	0.970920409	0.970788454	0.970628959	0.970800047
3	2.560809617	0.994427132	0.994221914	0.994603377	0.995114968	0.994705468	0.995067185	0.995114283	0.995185709	0.995475059
4	3.503507537	1.016733298	1.016337964	1.016882452	1.017733543	1.017292824	1.017527199	1.01785811	1.018267773	1.018336173
5	4.793236085	1.032614021	1.032163239	1.033065129	1.034564195	1.033809617	1.034397792	1.034723247	1.034957967	1.035539984
6	6.557745895	1.042802223	1.04285665	1.043992508	1.04557044	1.045218981	1.045990594	1.046465739	1.047039676	1.047266656
7	8.971815795	1.049491628	1.049377743	1.050906576	1.052978707	1.052582888	1.05364379	1.054868348	1.055833201	1.0561295
8	12.27456506	1.052688865	1.052704906	1.054916717	1.057250126	1.057456283	1.059062517	1.061027234	1.062232651	1.063291666
9	16.79313875	1.053186994	1.0539233	1.056924719	1.060210187	1.060045122	1.062589782	1.065944223	1.067315111	1.068846769
10	22.97511217	1.052407954	1.053679522	1.057307423	1.061386502	1.062253513	1.065709753	1.069862446	1.072525116	1.07479146
11	31.43282426	1.04952943	1.052374564	1.057165982	1.06170561	1.064583355	1.068536686	1.073935955	1.077638095	1.080824802
12	43.00403122	1.044323196	1.048718133	1.055440577	1.061474038	1.064886168	1.071764806	1.078579171	1.083600734	1.088738935
13	58.8348882	1.036864979	1.042646787	1.052538581	1.060342886	1.065961835	1.075296988	1.083971169	1.091392863	1.099648958
14	80.49347866	1.026136233	1.034705102	1.047814363	1.058823098	1.06650452	1.079142607	1.091168256	1.102189569	1.113500155
15	110.1251367	1.010925277	1.023248983	1.041014977	1.055753205	1.06865172	1.084764786	1.100908015	1.116142427	1.131089229
16	150.6649475	0.988921326	1.007205631	1.031609133	1.051427132	1.071233914	1.092380276	1.114272128	1.135596924	1.156231289
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05951	-0.000542774				
					0.05952	-0.024844853				
					0.05953	-0.000232015				
					0.05954	-0.000106712				
					0.05955	6.36953E-05				
					0.05956	0.000187852				
					0.05957	0.000329654				
					0.05958	0.000479886				
					0.05959	0.000620182				
										
SC-125										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05431	0.05432	0.05433	0.05434	0.05435	0.05436	0.05437		
0	1	1	1	1	1	1	1	1		
1	1.368124953	1.030740915	1.031057855	1.031094953	1.030578037	1.030947055	1.031023065	1.030860356		
2	1.871765887	1.073649224	1.074071223	1.07403879	1.073759599	1.074055893	1.074226448	1.074204109		
3	2.560809617	1.106530128	1.106637739	1.106861689	1.10685995	1.10689212	1.107325755	1.107666978		
4	3.503507537	1.12920772	1.129700493	1.129917887	1.130069707	1.130014964	1.130723688	1.131505131		
5	4.793236085	1.144249752	1.145118846	1.145309296	1.146054905	1.145633962	1.146915528	1.148240112		
6	6.557745895	1.153554202	1.154820308	1.155100243	1.156289924	1.155907493	1.157622043	1.159609814		
7	8.971815795	1.159313889	1.160497611	1.161146578	1.162688102	1.163176443	1.164922696	1.167695891		
8	12.27456506	1.161816719	1.163779963	1.164576455	1.167120163	1.16774245	1.170059407	1.173472536		
9	16.79313875	1.162689908	1.165272435	1.166595297	1.169616099	1.170557281	1.174400854	1.178784719		
10	22.97511217	1.161413215	1.164902702	1.167436712	1.171225466	1.174367836	1.177293032	1.183831331		
11	31.43282426	1.158732603	1.163387862	1.167816151	1.172919384	1.177273274	1.18168938	1.189729282		
12	43.00403122	1.154661665	1.16110101	1.16811121	1.173999673	1.180557143	1.187652399	1.197382582		
13	58.8348882	1.147980412	1.157507367	1.167571691	1.175708409	1.184382388	1.195559724	1.207233585		
14	80.49347866	1.13848768	1.151796665	1.16695818	1.177770589	1.190516875	1.204681435	1.220799743		
15	110.1251367	1.126752058	1.144493148	1.163212649	1.180065926	1.198399108	1.216055198	1.239893721		
16	150.6649475	1.110096289	1.135462694	1.159778428	1.184977956	1.20918573	1.233542775	1.263228606		
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05431	-0.00041085				
					0.05432	-0.028008584				
					0.05433	-8.47123E-05				
					0.05434	0.000121166				
					0.05435	0.000266075				
					0.05436	0.000431368				
					0.05437	0.000575604				
										
SC-135										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05336	0.05337	0.05338	0.05339	0.0534	0.05341	0.05342	0.05343	0.05344
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.997850391	0.998341231	0.998072891	0.998227458	0.998752266	0.998122693	0.998463572	0.998608858	0.99823197
2	1.871765887	1.054075815	1.054590458	1.054056463	1.054791884	1.054741671	1.054349251	1.054967056	1.055072887	1.054558491
3	2.560809617	1.089036282	1.089688982	1.089370262	1.089930303	1.089950139	1.089941444	1.09069497	1.090924446	1.090516047
4	3.503507537	1.112613904	1.113648532	1.113523895	1.114189243	1.114357027	1.11475006	1.11549382	1.115357922	1.115456495
5	4.793236085	1.12799572	1.129416089	1.129470397	1.129779229	1.130490292	1.131486991	1.131713322	1.132019426	1.132649053
6	6.557745895	1.136913405	1.13919491	1.138887343	1.13971115	1.14058818	1.142094161	1.142076632	1.143089254	1.143897302
7	8.971815795	1.140752096	1.14390148	1.144270619	1.145152813	1.146800682	1.148139346	1.148816073	1.15057724	1.151749013
8	12.27456506	1.141157179	1.144743252	1.146666139	1.147591105	1.150232538	1.151375225	1.152941262	1.155251954	1.157496063
9	16.79313875	1.138835853	1.142271774	1.146396674	1.14743227	1.151315789	1.152267268	1.154888165	1.159170669	1.16124763
10	22.97511217	1.133997474	1.138157822	1.142906917	1.145013307	1.150687906	1.152288299	1.155968488	1.161671932	1.16491628
11	31.43282426	1.12577509	1.131702324	1.137660282	1.141146675	1.147953977	1.150912071	1.156074252	1.163551575	1.168642033
12	43.00403122	1.114192274	1.12108719	1.12932298	1.135275095	1.14359956	1.148180751	1.154969316	1.16473655	1.172217392
13	58.8348882	1.097637552	1.106748268	1.117488153	1.127308453	1.137090871	1.144104328	1.153364455	1.166227154	1.175913929
14	80.49347866	1.073460622	1.086416728	1.100605964	1.114839729	1.128443684	1.138339202	1.151917679	1.167595867	1.182674551
15	110.1251367	1.042160647	1.058719023	1.078508088	1.098244554	1.115515537	1.130892076	1.149939023	1.170431234	1.190359199
16	150.6649475	0.99792729	1.021750797	1.048121182	1.074172394	1.098669093	1.120511649	1.147273573	1.174333633	1.200421904
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05336	-0.001091109				
					0.05337	-0.02520364				
					0.05338	-0.000749557				
					0.05339	-0.000593791				
					0.0534	-0.000415553				
					0.05341	-0.000256055				
					0.05342	-6.57489E-05				
					0.05343	9.62609E-05				
					0.05344	0.000248218				
										
SC-145										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05616	0.05617	0.05618	0.05619	0.0562	0.05621	0.05622	0.05623	0.05624
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.997513398	0.997726885	0.997663553	0.998049779	0.997688162	0.997737322	0.997895551	0.997888192	0.998161839
2	1.871765887	1.023931004	1.023524764	1.024190072	1.02496666	1.023965531	1.024833457	1.025027174	1.024582507	1.024819859
3	2.560809617	1.052437698	1.051684542	1.052572482	1.053875563	1.052745604	1.053432374	1.054077093	1.053623642	1.053475982
4	3.503507537	1.074585181	1.073830241	1.074712517	1.076593307	1.075380323	1.076175596	1.077209232	1.076830573	1.076541379
5	4.793236085	1.088962883	1.088910326	1.089841775	1.091978416	1.091013141	1.092277217	1.093612439	1.092879605	1.093015367
6	6.557745895	1.098323219	1.098225405	1.09993518	1.102434598	1.101236572	1.103522233	1.104157992	1.103862979	1.104436572
7	8.971815795	1.103578345	1.10367677	1.106178535	1.108940247	1.108237121	1.110407832	1.111341151	1.111594492	1.112621726
8	12.27456506	1.105184339	1.105657212	1.108963863	1.112193623	1.111685983	1.114798086	1.116280096	1.117234428	1.118847423
9	16.79313875	1.105007851	1.105743077	1.109679845	1.113677947	1.113767022	1.117141454	1.120325428	1.121894367	1.123646459
10	22.97511217	1.101515284	1.103939028	1.108251082	1.113333555	1.115058553	1.118471119	1.123307154	1.125817083	1.128506666
11	31.43282426	1.095831078	1.100334733	1.104988085	1.111589575	1.114628863	1.120286684	1.125964854	1.129043257	1.133543271
12	43.00403122	1.088402817	1.093888832	1.100226921	1.108310438	1.113960817	1.121051121	1.128211566	1.134178426	1.139596553
13	58.8348882	1.076791371	1.084756711	1.093410206	1.103843043	1.11179265	1.121857967	1.13199882	1.139471674	1.148148872
14	80.49347866	1.059089661	1.070900467	1.084773752	1.097688683	1.109169975	1.122013894	1.135156465	1.146307069	1.158455142
15	110.1251367	1.036122622	1.052615017	1.070934125	1.087874447	1.105058725	1.122377943	1.140189226	1.155680984	1.173114488
16	150.6649475	1.004859	1.027374857	1.052209856	1.074872307	1.099077892	1.122438212	1.146712685	1.168333138	1.192756534
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05616	-0.000771183				
					0.05617	-0.025342369				
					0.05618	-0.000461874				
					0.05619	-0.000320725				
					0.0562	-0.00014753				
					0.05621	1.48667E-06				
					0.05622	0.000160915				
					0.05623	0.000312092				
					0.05624	0.000484513				
										
SC-235										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.05146	0.05147	0.05148	0.05149	0.0515	0.05151	0.05152	0.05153	0.05154
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.028353656	1.028523538	1.028752603	1.028397969	1.028795687	1.028714154	1.028566733	1.028777633	1.029015798
2	1.871765887	1.068229528	1.068770686	1.069084138	1.068536258	1.06873772	1.068975648	1.068615218	1.069271098	1.069331766
3	2.560809617	1.100600894	1.101814411	1.101858549	1.101545643	1.101546157	1.102463164	1.101738345	1.102515418	1.102484834
4	3.503507537	1.122779574	1.124534649	1.124411144	1.124443998	1.124480314	1.125265344	1.125168204	1.126050428	1.126150248
5	4.793236085	1.136999738	1.138885819	1.1391121	1.139540249	1.139446763	1.140698925	1.140491374	1.141785458	1.142265747
6	6.557745895	1.144974329	1.147501007	1.147655828	1.148162531	1.148642878	1.150303672	1.151262237	1.152044215	1.152441954
7	8.971815795	1.148721086	1.151832656	1.152482157	1.153657085	1.154761835	1.156057064	1.157360906	1.158560719	1.159924987
8	12.27456506	1.149132036	1.152348412	1.154057864	1.155541104	1.157474272	1.159324543	1.161435706	1.163236842	1.164183836
9	16.79313875	1.147903102	1.150941732	1.152946378	1.155946258	1.157600827	1.160711778	1.164166893	1.166384219	1.167999628
10	22.97511217	1.142986456	1.147565558	1.151172558	1.153755763	1.157430505	1.161036353	1.166567967	1.169195479	1.172400874
11	31.43282426	1.135657083	1.141115602	1.146462761	1.150750157	1.156131104	1.161852968	1.168027454	1.172073781	1.176543023
