FCC-1										
	s^σ	s^(τ-2)*(P≥s)								
1	1.368124953	0.969810342	0.970021913	0.970153183	0.969812259	0.970032378	0.970179622	0.969946761	0.970174112	0.970221571
2	1.871765887	0.988295926	0.988814371	0.988724766	0.988193122	0.988859305	0.988992954	0.988993399	0.988891688	0.989230443
3	2.560809617	1.017928326	1.018268583	1.018427253	1.017992188	1.018604373	1.018959	1.019175573	1.01884039	1.019299527
4	3.503507537	1.041854823	1.042281703	1.042659701	1.042087872	1.04289023	1.043257245	1.043613135	1.043320339	1.04389151
5	4.793236085	1.05793972	1.058457002	1.058766593	1.058609754	1.059592832	1.060237721	1.060046545	1.060479615	1.060890457
6	6.557745895	1.068149492	1.068893492	1.069188743	1.070016296	1.070910026	1.071699201	1.071458441	1.072252237	1.073006725
7	8.971815795	1.073989544	1.075596923	1.075949423	1.076905178	1.078452059	1.079061956	1.079071387	1.080499213	1.081253517
8	12.27456506	1.076896227	1.079328981	1.079836842	1.080696539	1.082607734	1.08424427	1.084516937	1.086040165	1.087405401
9	16.79313875	1.077534642	1.080545822	1.081560854	1.08307334	1.08567033	1.087739408	1.08830653	1.089997544	1.092029711
10	22.97511217	1.07597253	1.079723093	1.081916386	1.084112524	1.087087089	1.089723927	1.091189199	1.093858739	1.096333256
11	31.43282426	1.073021046	1.07767081	1.080722983	1.083472128	1.088096296	1.091872351	1.094337113	1.097512598	1.100731478
12	43.00403122	1.068304181	1.074386868	1.078613891	1.082127806	1.088179122	1.093240395	1.09754509	1.101655706	1.106004102
13	58.8348882	1.061376616	1.069097818	1.07475798	1.079872172	1.087563046	1.095205973	1.101509222	1.107156296	1.113341056
14	80.49347866	1.05137551	1.061630716	1.069791872	1.077977185	1.087363612	1.097103283	1.106650052	1.114635379	1.123344984
15	110.1251367	1.037559178	1.051641604	1.062626853	1.074483711	1.0876104	1.100632346	1.113130148	1.124596715	1.137107382
16	150.6649475	1.018174917	1.037047562	1.053559813	1.069870857	1.087481746	1.104391241	1.122429942	1.137939308	1.155579722
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.07621	-0.000478154				
					0.07622	-0.025580967				
					0.07623	-0.000223658				
					0.07624	-0.000113786				
					0.07625	-3.17353E-06				
					0.07626	9.27211E-05				
					0.07627	0.000229399				
					0.07628	0.000329123				
					0.07629	0.000455659				
										
FCC-13										
